epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6713,1.868,3.96667,1.53816,0.00605,0.4634,0.04112,0.02057,1.56386,4.01634,1.37459,2.5e-05,2.5e-05,2.5e-05
2,94.2906,1.85451,3.92368,1.52675,0.00773,0.52989,0.05728,0.02588,1.4512,3.98591,1.29599,6.18813e-05,6.18813e-05,6.18813e-05
3,130.515,1.71606,3.82528,1.40792,0.01078,0.58013,0.05595,0.03524,1.39667,3.93158,1.2246,9.802e-05,9.802e-05,9.802e-05
4,165.259,1.73079,3.64058,1.39264,0.01464,0.63893,0.09302,0.04903,1.42817,3.86973,1.17652,0.000133416,0.000133416,0.000133416
5,196.582,1.69294,3.3118,1.37669,0.01563,0.64299,0.08953,0.04374,1.54823,3.81402,1.20704,0.00016807,0.00016807,0.00016807
6,228.742,1.71468,3.02719,1.372,0.0153,0.66294,0.11368,0.05606,1.54252,3.6895,1.19382,0.000201981,0.000201981,0.000201981
7,267.446,1.71677,2.67649,1.33176,0.01638,0.74349,0.12499,0.0788,1.43457,3.51914,1.16346,0.00023515,0.00023515,0.00023515
8,299.303,1.66201,2.49564,1.30672,0.01699,0.79658,0.17153,0.08518,1.45206,3.41699,1.17298,0.000267576,0.000267576,0.000267576
9,338.293,1.57601,2.29783,1.27564,0.01547,0.75203,0.18344,0.07739,1.47407,3.35003,1.19721,0.00029926,0.00029926,0.00029926
10,371.858,1.56662,2.25444,1.30335,0.70902,0.03298,0.21148,0.10409,1.46931,3.23123,1.18304,0.000330201,0.000330201,0.000330201
11,412.448,1.54104,2.12407,1.29826,0.81817,0.03315,0.23581,0.11529,1.4836,3.16005,1.19751,0.0003604,0.0003604,0.0003604
12,450.903,1.49716,2.09753,1.27377,0.01861,0.78907,0.24103,0.11318,1.38331,3.15089,1.18669,0.000389856,0.000389856,0.000389856
13,486.544,1.47543,1.9623,1.28952,0.43542,0.04843,0.27233,0.14444,1.39281,3.1102,1.18726,0.00041857,0.00041857,0.00041857
14,521.184,1.47606,1.92579,1.28183,0.78471,0.04558,0.21439,0.11305,1.43427,3.05908,1.20854,0.000446541,0.000446541,0.000446541
